time,window,count,score,edu
2014-10-02 22:00:00,47,9843,-0.03460572408053197,0
2014-10-02 23:00:00,48,261,-0.0583081600196546,1
2014-10-02 23:00:00,48,7121,-0.04190821572691671,0
2014-10-03 00:00:00,49,237,-0.06312314645917848,1
2014-10-03 00:00:00,49,5010,-0.04163111828230564,0
2014-10-03 01:00:00,50,102,-0.05596304790419167,1
2014-10-03 01:00:00,50,3015,-0.04032397776537369,0
2014-10-03 02:00:00,51,75,-0.08005197564708072,1
2014-10-03 02:00:00,51,1497,-0.04618645695329597,0
2014-10-03 03:00:00,52,24,-0.005733548766157459,1
2014-10-03 03:00:00,52,933,-0.053999696313669285,0
2014-10-03 04:00:00,53,3,0.07100591715976332,1
2014-10-03 04:00:00,53,612,-0.03891596498311517,0
2014-10-03 05:00:00,54,12,-0.03838984183559814,1
2014-10-03 05:00:00,54,792,-0.053936390510225786,0
2014-10-03 06:00:00,55,90,-0.04309551442162377,1
2014-10-03 06:00:00,55,2298,-0.0337672615029574,0
2014-10-03 07:00:00,56,558,-0.04210069727041252,1
2014-10-03 07:00:00,56,3294,-0.038348858844125894,0
2014-10-03 08:00:00,57,825,-0.03652074281140722,1
2014-10-03 08:00:00,57,3975,-0.03720794995717083,0
2014-10-03 09:00:00,58,1161,-0.027143400319018,1
2014-10-03 09:00:00,58,4629,-0.03408763440785221,0
2014-10-03 10:00:00,59,1122,-0.04330213718541998,1
2014-10-03 10:00:00,59,4188,-0.03308725405464097,0
2014-10-03 11:00:00,60,1221,-0.04480383924136484,1
2014-10-03 11:00:00,60,4176,-0.03680816323376727,0
2014-10-03 12:00:00,61,1098,-0.032507312896809366,1
2014-10-03 12:00:00,61,4659,-0.03564054277164941,0
2014-10-03 13:00:00,62,873,-0.03982942071449039,1
2014-10-03 13:00:00,62,4605,-0.039041626798540674,0
2014-10-03 14:00:00,63,599,-0.04954364278739612,1
2014-10-03 14:00:00,63,3879,-0.039052097057382676,0
2014-10-03 15:00:00,64,141,-0.047285257318171126,1
2014-10-03 15:00:00,64,1789,-0.04148103956388479,0
2014-10-03 16:00:00,65,94,-0.04930774551116515,1
2014-10-03 16:00:00,65,1992,-0.03731473099990797,0
2014-10-03 17:00:00,66,94,-0.050297573960304987,1
2014-10-03 17:00:00,66,1982,-0.037977322551375196,0
2014-10-03 18:00:00,67,84,-0.04298232816086833,1
2014-10-03 18:00:00,67,2071,-0.03783048077517395,0
2014-10-03 19:00:00,68,332,-0.038119521061370405,1
2014-10-03 19:00:00,68,6274,-0.03770759505679177,0
2014-10-03 20:00:00,69,429,-0.05122053520630852,1
2014-10-03 20:00:00,69,6686,-0.043565254135200474,0
2014-10-03 21:00:00,70,390,-0.04499851957728864,1
2014-10-03 21:00:00,70,7245,-0.039557246188375444,0
2014-10-03 22:00:00,71,171,-0.031179283463887052,1
2014-10-03 22:00:00,71,7626,-0.039412879969375314,0
2014-10-03 23:00:00,72,207,-0.027609262543121703,1
2014-10-03 23:00:00,72,6762,-0.03336778935582555,0
2014-10-04 00:00:00,73,186,-0.03995303722637412,1
2014-10-04 00:00:00,73,5568,-0.04058959116416318,0
2014-10-04 01:00:00,74,129,-0.05265749043616838,1
2014-10-04 01:00:00,74,3162,-0.04118634698395351,0
2014-10-04 02:00:00,75,108,-0.06063407714836697,1
2014-10-04 02:00:00,75,1686,-0.038135531478600236,0
2014-10-04 03:00:00,76,30,-0.0645466142358917,1
2014-10-04 03:00:00,76,924,-0.04057707885022308,0
2014-10-04 04:00:00,77,3,-0.16666666666666666,1
2014-10-04 04:00:00,77,648,-0.04876690552834396,0
2014-10-04 05:00:00,78,9,-0.02094594844313037,1
2014-10-04 05:00:00,78,498,-0.04212435412510404,0
2014-10-04 06:00:00,79,21,-0.06609317654108303,1
2014-10-04 06:00:00,79,873,-0.021521122593035884,0
2014-10-04 07:00:00,80,36,0.0030065603861450063,1
2014-10-04 07:00:00,80,2451,-0.04326263871512494,0
2014-10-04 08:00:00,81,105,-0.0279412028810522,1
2014-10-04 08:00:00,81,3561,-0.034161326976879854,0
2014-10-04 09:00:00,82,249,-0.022060783332623644,1
2014-10-04 09:00:00,82,5000,-0.03583857833917981,0
2014-10-04 10:00:00,83,216,-0.046935849225063664,1
2014-10-04 10:00:00,83,6045,-0.03328668408937669,0
2014-10-04 11:00:00,84,327,-0.028643913039508404,1
2014-10-04 11:00:00,84,6861,-0.037156284896254624,0
2014-10-04 12:00:00,85,294,-0.04095097550256366,1
2014-10-04 12:00:00,85,6858,-0.03649243739102552,0
2014-10-04 13:00:00,86,300,-0.050726840748104116,1
2014-10-04 13:00:00,86,6675,-0.03827721517589519,0
2014-10-04 14:00:00,87,288,-0.036950721171062455,1
2014-10-04 14:00:00,87,6420,-0.036774698253686296,0
2014-10-04 15:00:00,88,303,-0.037622952040890265,1
2014-10-04 15:00:00,88,6273,-0.03995532586619272,0
2014-10-04 16:00:00,89,204,-0.031374913780216215,1
2014-10-04 16:00:00,89,5862,-0.03731136285906123,0
2014-10-04 17:00:00,90,138,-0.038848675006048314,1
2014-10-04 17:00:00,90,5979,-0.03960177253495882,0
