time,window,count,score,edu
2014-10-03 01:00:00,50,102,0.36291999999999996,1
2014-10-03 01:00:00,50,3015,0.33505476514403365,0
2014-10-03 02:00:00,51,75,0.493,1
2014-10-03 02:00:00,51,1497,0.2677757684791712,0
2014-10-03 03:00:00,52,24,1.10025,1
2014-10-03 03:00:00,52,933,0.2950976082740789,0
2014-10-03 04:00:00,53,3,0,1
2014-10-03 04:00:00,53,612,0.3339464285714286,0
2014-10-03 05:00:00,54,12,0,1
2014-10-03 05:00:00,54,792,0.24529779446565486,0
2014-10-03 06:00:00,55,90,0.5902499999999999,1
2014-10-03 06:00:00,55,2298,0.3436930918901242,0
2014-10-03 07:00:00,56,558,0.4131428571428572,1
2014-10-03 07:00:00,56,3294,0.39503052271514283,0
2014-10-03 08:00:00,57,825,0.447309192533844,1
2014-10-03 08:00:00,57,3975,0.33958042908475355,0
2014-10-03 09:00:00,58,1161,0.38014575620457985,1
2014-10-03 09:00:00,58,4629,0.3436145264642582,0
2014-10-03 10:00:00,59,1122,0.29657753790375735,1
2014-10-03 10:00:00,59,4188,0.3904128332748307,0
2014-10-03 11:00:00,60,1221,0.36790486257928123,1
2014-10-03 11:00:00,60,4176,0.29776815262199213,0
2014-10-03 12:00:00,61,1098,0.3870164863362273,1
2014-10-03 12:00:00,61,4659,0.3807380355276907,0
2014-10-03 13:00:00,62,873,0.29633382066276803,1
2014-10-03 13:00:00,62,4605,0.33525614927905023,0
2014-10-03 14:00:00,63,599,0.458569482502153,1
2014-10-03 14:00:00,63,3879,0.31658269183530136,0
2014-10-03 15:00:00,64,141,0.5098113207547171,1
2014-10-03 15:00:00,64,1789,0.3746507353975082,0
2014-10-03 16:00:00,65,94,0.40788416666666677,1
2014-10-03 16:00:00,65,1992,0.38539877694528585,0
2014-10-03 17:00:00,66,94,0.28758102564102567,1
2014-10-03 17:00:00,66,1982,0.3897120430355681,0
2014-10-03 18:00:00,67,84,0.31766666666666676,1
2014-10-03 18:00:00,67,2071,0.30026859559613295,0
2014-10-03 19:00:00,68,332,0.5147743055555556,1
2014-10-03 19:00:00,68,6274,0.38338142739447173,0
2014-10-03 20:00:00,69,429,0.3803311688311689,1
2014-10-03 20:00:00,69,6686,0.2820517453569033,0
2014-10-03 21:00:00,70,390,0.4548776455026455,1
2014-10-03 21:00:00,70,7245,0.32099269621888865,0
2014-10-03 22:00:00,71,171,0.5634750000000001,1
2014-10-03 22:00:00,71,7626,0.32985117915833984,0
2014-10-03 23:00:00,72,207,0.6275555555555555,1
2014-10-03 23:00:00,72,6762,0.35045167147667144,0
2014-10-04 00:00:00,73,186,0.3723194444444444,1
2014-10-04 00:00:00,73,5568,0.2626011914682247,0
2014-10-04 01:00:00,74,129,0.11594791666666665,1
2014-10-04 01:00:00,74,3162,0.29859009693536875,0
2014-10-04 02:00:00,75,108,0.5,1
2014-10-04 02:00:00,75,1686,0.36568222469961614,0
2014-10-04 03:00:00,76,30,0,1
2014-10-04 03:00:00,76,924,0.29970213160333636,0
2014-10-04 04:00:00,77,3,0,1
2014-10-04 04:00:00,77,648,0.5184646781789638,0
2014-10-04 05:00:00,78,9,0,1
2014-10-04 05:00:00,78,498,0.3547665513264129,0
2014-10-04 06:00:00,79,21,-0.30925,1
2014-10-04 06:00:00,79,873,0.38292210884353717,0
2014-10-04 07:00:00,80,36,0.5579349112426034,1
2014-10-04 07:00:00,80,2451,0.35592139934533545,0
2014-10-04 08:00:00,81,105,0.18440625,1
2014-10-04 08:00:00,81,3561,0.3329037665853179,0
2014-10-04 09:00:00,82,249,0.4245574425574426,1
2014-10-04 09:00:00,82,5000,0.3503900914349694,0
2014-10-04 10:00:00,83,216,0.22995238095238094,1
2014-10-04 10:00:00,83,6045,0.37317387253629347,0
2014-10-04 11:00:00,84,327,0.2786713286713287,1
2014-10-04 11:00:00,84,6861,0.3544128395223053,0
2014-10-04 12:00:00,85,294,0.6053023529411764,1
2014-10-04 12:00:00,85,6858,0.3366802558035168,0
2014-10-04 13:00:00,86,300,0.42908870967741936,1
2014-10-04 13:00:00,86,6675,0.3525374059053715,0
2014-10-04 14:00:00,87,288,0.5043579545454545,1
2014-10-04 14:00:00,87,6420,0.33256833726300195,0
2014-10-04 15:00:00,88,303,0.2675428571428572,1
2014-10-04 15:00:00,88,6273,0.3316963319547088,0
2014-10-04 16:00:00,89,204,0.28748571428571423,1
2014-10-04 16:00:00,89,5862,0.3025672790220893,0
2014-10-04 17:00:00,90,138,0.17922321428571425,1
2014-10-04 17:00:00,90,5979,0.35769278805192206,0
2014-10-04 18:00:00,91,252,0.611371710526316,1
2014-10-04 18:00:00,91,7080,0.3518378445407649,0
2014-10-04 19:00:00,92,333,0.422716836734694,1
2014-10-04 19:00:00,92,6603,0.3234407536242332,0
2014-10-04 20:00:00,93,267,0.12201111111111113,1
2014-10-04 20:00:00,93,6936,0.30374930687922364,0
2014-10-04 21:00:00,94,180,0.6076,1
2014-10-04 21:00:00,94,7344,0.3773123619517068,0
